id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,TotalNN,MR_SumNN,MR_Avg_NN,MR_Avg_NN_2010,DR_SumNN,DR_Avg_NN,DR_Avg_NN_2010,HR_SumNN,HR_Avg_NN,HR_Avg_NN_2010
3094,5220,5173,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,5233.34258847,382578.670171,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3155,5221,5174,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1197.33703889,70330.4713748,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3088,5222,5167,I,SHREWSBURY,MA,"SHREWSBURY,MA",CMRPC,0,,10376.9488932,2647947.19093,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3108,5223,5172,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,4447.93897327,786130.358057,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3104,5224,5168,I,SHREWSBURY,MA,"SHREWSBURY,MA",CMRPC,0,,9640.80683504,4158706.25751,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3119,5225,5169,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2851.26229093,260739.168637,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3128,5226,5170,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2425.81089674,150360.940303,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3161,5227,5184,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2657.25285751,269280.608393,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3154,5228,5175,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,4688.82357656,343594.307047,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3140,5229,5176,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1726.70869137,138606.508102,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3142,5230,5177,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1487.74997729,96441.3286919,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3203,5231,5178,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2117.75152168,185869.64372,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201,5232,5179,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2299.28074499,209723.17792,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3202,5233,5180,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2701.95142227,366186.962618,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3200,5234,5181,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2967.03860481,522426.654356,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3178,5235,5182,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1239.30270305,94163.9277131,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3162,5236,5183,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2038.36556399,164366.530954,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2782,5237,5186,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,4292.17648045,679007.611633,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2781,5238,5187,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2107.99336163,225561.381209,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3163,5239,5188,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1966.69597157,144333.201755,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3165,5240,5189,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1885.41296223,183221.592442,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2789,5241,5190,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1904.86700448,142781.904527,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2821,5242,5191,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1804.37496752,162571.764238,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2791,5243,5192,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1761.42747486,174440.89292,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2818,5244,5193,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1344.80240011,108960.384469,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2820,5245,5195,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,8230.77207242,1338503.36718,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2977,5246,5196,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1954.30792972,253408.998228,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3099,5247,5216,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2106.37932714,207325.32222,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2978,5248,5197,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,4826.41277414,1137532.38556,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2986,5249,5198,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2479.70764826,291017.331724,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2793,5250,5199,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2593.73426775,366524.081399,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2777,5251,5200,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,4847.83016871,628752.871393,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2961,5252,5201,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,4081.15981515,594376.302057,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2962,5253,5202,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,5073.58545715,1039135.38632,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2771,5254,5203,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2997.09790865,390285.91227,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2776,5255,5204,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2553.98628013,231461.171459,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2790,5256,5205,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2183.89677278,175045.203204,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3096,5257,5218,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,8248.39540164,2973484.16432,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3095,5258,5219,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2178.22030263,179079.25817,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3134,5259,5220,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,6309.95595614,986603.11798,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
