id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,WeightSum,WeightxHRSum,WeightxDRSum,WeightxMRSum,Weighted_Average_HR,Weighted_Average_DR,Weighted_Average_MR,Weighted_Average_MR_2010,Weighted_Average_DR_2010,Weighted_Average_HR_2010
5529,5104,5044,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,2631.04798711,210288.01525,138.74616053637425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5533,5105,5045,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,2390.73025072,289734.967191,137.35222816673016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5537,5106,5046,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,2003.44508072,216013.541023,138.00455673323597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5539,5107,5047,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,2240.42676969,197862.251772,138.0113593435546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5540,5108,5048,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,1783.55152426,198066.449221,138.03754914837884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5554,5109,5049,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,2673.00421311,450342.404667,138.06504832191183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5580,5110,5055,I,CHICOPEE,MA,"CHICOPEE,MA",PVPC,0,,7030.71017518,1873530.20626,135.00956181863506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5581,5111,5056,I,CHICOPEE,MA,"CHICOPEE,MA",PVPC,0,,5668.63372349,426579.845443,135.16346905790286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5604,5112,5066,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,3306.13952161,383696.012108,136.95334364773242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5582,5113,5057,I,CHICOPEE,MA,"CHICOPEE,MA",PVPC,0,,5421.44330683,1077706.24767,134.87428144272212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5584,5114,5058,I,CHICOPEE,MA,"CHICOPEE,MA",PVPC,0,,3925.63607285,392643.279429,135.6642071037893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5586,5115,5059,I,CHICOPEE,MA,"CHICOPEE,MA",PVPC,0,,4050.55946248,895302.433986,135.5047353793263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5589,5116,5060,I,CHICOPEE,MA,"CHICOPEE,MA",PVPC,0,,4600.66670543,877469.866471,134.61427978202985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
