id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,WeightSum,WeightxHRSum,WeightxDRSum,WeightxMRSum,Weighted_Average_HR,Weighted_Average_DR,Weighted_Average_MR,Weighted_Average_MR_2010,Weighted_Average_DR_2010,Weighted_Average_HR_2010
208344,1289,1184,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,6836.27811544,1559360.30572,0.34429300019457354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208433,1290,1185,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,1723.79163349,152021.996352,0.3687099212346287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208313,1291,1186,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,3804.8711538,425016.984892,0.34522296593519897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208330,1292,1187,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,4049.21924171,810845.074341,0.3283525190267327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208345,1293,1188,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,2238.95303404,114207.834554,0.32805944007105203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,1294,2415,I,MALDEN,MA,"MALDEN,MA",BRMPO,1,ICC,2718.3009205,420282.636205,50.06238418748453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208317,1295,1189,I,EAST PROVIDENCE,RI,"EAST PROVIDENCE,RI",,0,,7591.89593702,1263010.41308,0.31489445034213526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208481,1296,1190,I,WOONSOCKET,RI,"WOONSOCKET,RI",,0,,2988.08372415,525464.914647,0.4368782786835694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3362,1297,2015,I,LEOMINSTER,MA,"LEOMINSTER,MA",MRPC,0,,6326.14806875,1008130.93521,0.33261978599151565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2407,1298,1191,I,BLACKSTONE,MA,"BLACKSTONE,MA",CMRPC,0,,9955.47219371,6007115.92324,0.46086499469936965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4111,1299,1199,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,5261.47444853,866756.06441,0.4788356650389204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
